"active","TP","FP","FN","TN","precision","recall","F1","jaccard","coef_err","test_mse","rule","E","seed","rounds","converged","nnz"
30,30,0,0,570,1,1,1,1,0.842812996736456,1.90632535543148,"BIC_corrected_thresh",5,1,5,TRUE,30
138,30,108,0,462,0.217391304347826,1,0.357142857142857,0.217391304347826,0.878150364759326,1.94656524175103,"BIC_corrected",20,1,3,TRUE,138
70.9,30,40.9,0,529.1,0.423131170662905,1,0.594648166501487,0.423131170662905,0.958064250169109,2.20837889750751,"BIC_corrected_localonly",20,1,3,TRUE,NA
30,30,0,0,570,1,1,1,1,0.860018452250198,1.93993541170744,"BIC_corrected_thresh",20,1,3,TRUE,30
41,30,11,0,559,0.731707317073171,1,0.845070422535211,0.731707317073171,3.84469399431286,16.6614541020417,"oracle_F1",1,1,8,TRUE,41
49,30,19,0,551,0.612244897959184,1,0.759493670886076,0.612244897959184,4.01467883100698,17.9040207447104,"oracle_F1",5,1,4,TRUE,49
49,30,19,0,551,0.612244897959184,1,0.759493670886076,0.612244897959184,4.0195983136666,17.9449645884767,"oracle_F1",20,1,2,TRUE,49
349,30,319,0,251,0.0859598853868195,1,0.158311345646438,0.0859598853868195,0.536573667436481,1.32991583613858,"val_mse",1,2,16,TRUE,349
131.9,30,101.9,0,468.1,0.227445034116755,1,0.370599135268684,0.227445034116755,1.05168840377239,2.3634138432522,"val_mse_localonly",1,2,16,TRUE,NA
298,30,268,0,302,0.100671140939597,1,0.182926829268293,0.100671140939597,0.702700583455684,1.50540829625064,"val_mse",5,2,8,TRUE,298
131.9,30,101.9,0,468.1,0.227445034116755,1,0.370599135268684,0.227445034116755,1.05168840377239,2.3634138432522,"val_mse_localonly",5,2,8,TRUE,NA
284,30,254,0,316,0.105633802816901,1,0.191082802547771,0.105633802816901,0.796471736811113,1.62174676003317,"val_mse",20,2,6,TRUE,284
131.9,30,101.9,0,468.1,0.227445034116755,1,0.370599135268684,0.227445034116755,1.05168840377239,2.3634138432522,"val_mse_localonly",20,2,6,TRUE,NA
177,30,147,0,423,0.169491525423729,1,0.289855072463768,0.169491525423729,0.746359537111675,1.60007129764957,"val_1se",1,2,11,TRUE,177
78.6,30,48.6,0,521.4,0.381679389312977,1,0.552486187845304,0.381679389312977,1.19688304548311,2.88406964192719,"val_1se_localonly",1,2,11,TRUE,NA
30,30,0,0,570,1,1,1,1,0.731687620197268,1.56898438335573,"val_1se_thresh",1,2,11,TRUE,30
170,30,140,0,430,0.176470588235294,1,0.3,0.176470588235294,0.929304348431985,1.85153441421856,"val_1se",5,2,6,TRUE,170
78.6,30,48.6,0,521.4,0.381679389312977,1,0.552486187845304,0.381679389312977,1.19688304548311,2.88406964192719,"val_1se_localonly",5,2,6,TRUE,NA
30,30,0,0,570,1,1,1,1,0.90874752716141,1.81488192639002,"val_1se_thresh",5,2,6,TRUE,30
169,30,139,0,431,0.177514792899408,1,0.301507537688442,0.177514792899408,1.03325519017687,2.034540054841,"val_1se",20,2,5,TRUE,169
78.6,30,48.6,0,521.4,0.381679389312977,1,0.552486187845304,0.381679389312977,1.19688304548311,2.88406964192719,"val_1se_localonly",20,2,5,TRUE,NA
30,30,0,0,570,1,1,1,1,1.00541186530628,1.96521113274958,"val_1se_thresh",20,2,5,TRUE,30
121,30,91,0,479,0.247933884297521,1,0.397350993377483,0.247933884297521,0.93769335731677,1.88973533254446,"BIC_corrected",1,2,11,TRUE,121
72.8,29.6,43.2,0.4,526.8,0.406593406593407,0.986666666666667,0.575875486381323,0.404371584699454,1.41770986753963,4.25274597923704,"BIC_corrected_localonly",1,2,11,TRUE,NA
30,30,0,0,570,1,1,1,1,0.926280039151945,1.86511464132533,"BIC_corrected_thresh",1,2,11,TRUE,30
143,30,113,0,457,0.20979020979021,1,0.346820809248555,0.20979020979021,1.20187629989808,2.38485740896729,"BIC_corrected",5,2,5,TRUE,143
72.8,29.6,43.2,0.4,526.8,0.406593406593407,0.986666666666667,0.575875486381323,0.404371584699454,1.41770986753963,4.25274597923704,"BIC_corrected_localonly",5,2,5,TRUE,NA
30,30,0,0,570,1,1,1,1,1.18236405793699,2.32806733401975,"BIC_corrected_thresh",5,2,5,TRUE,30
145,30,115,0,455,0.206896551724138,1,0.342857142857143,0.206896551724138,1.29725422092382,2.59826910590409,"BIC_corrected",20,2,3,TRUE,145
72.8,29.6,43.2,0.4,526.8,0.406593406593407,0.986666666666667,0.575875486381323,0.404371584699454,1.41770986753963,4.25274597923704,"BIC_corrected_localonly",20,2,3,TRUE,NA
30,30,0,0,570,1,1,1,1,1.27109635718257,2.50731235382554,"BIC_corrected_thresh",20,2,3,TRUE,30
48,30,18,0,552,0.625,1,0.769230769230769,0.625,4.05882081052909,15.5465404996513,"oracle_F1",1,2,9,TRUE,48
49,30,19,0,551,0.612244897959184,1,0.759493670886076,0.612244897959184,4.26676247957125,17.0692650200009,"oracle_F1",5,2,4,TRUE,49
49,30,19,0,551,0.612244897959184,1,0.759493670886076,0.612244897959184,4.27283815627561,17.1167272783808,"oracle_F1",20,2,2,TRUE,49
333,30,303,0,267,0.0900900900900901,1,0.165289256198347,0.0900900900900901,0.541791053041311,1.5043933384324,"val_mse",1,3,16,TRUE,333
132.4,30,102.4,0,467.6,0.226586102719033,1,0.369458128078818,0.226586102719033,1.00125225967636,2.50168059674531,"val_mse_localonly",1,3,16,TRUE,NA
295,30,265,0,305,0.101694915254237,1,0.184615384615385,0.101694915254237,0.717720067699633,1.82069205655164,"val_mse",5,3,8,TRUE,295
132.4,30,102.4,0,467.6,0.226586102719033,1,0.369458128078818,0.226586102719033,1.00125225967636,2.50168059674531,"val_mse_localonly",5,3,8,TRUE,NA
287,30,257,0,313,0.104529616724739,1,0.189274447949527,0.104529616724739,0.796423419782376,1.97781781163123,"val_mse",20,3,5,TRUE,287
132.4,30,102.4,0,467.6,0.226586102719033,1,0.369458128078818,0.226586102719033,1.00125225967636,2.50168059674531,"val_mse_localonly",20,3,5,TRUE,NA
165,30,135,0,435,0.181818181818182,1,0.307692307692308,0.181818181818182,0.760232109724312,1.85640243770093,"val_1se",1,3,11,TRUE,165
74.5,30,44.5,0,525.5,0.402684563758389,1,0.574162679425837,0.402684563758389,1.10396071584828,2.76291738493171,"val_1se_localonly",1,3,11,TRUE,NA
30,30,0,0,570,1,1,1,1,0.747698763652705,1.79795491283261,"val_1se_thresh",1,3,11,TRUE,30
170,30,140,0,430,0.176470588235294,1,0.3,0.176470588235294,0.936989851951096,2.23426918496124,"val_1se",5,3,6,TRUE,170
74.5,30,44.5,0,525.5,0.402684563758389,1,0.574162679425837,0.402684563758389,1.10396071584828,2.76291738493171,"val_1se_localonly",5,3,6,TRUE,NA
30,30,0,0,570,1,1,1,1,0.922860243380633,2.16887677318173,"val_1se_thresh",5,3,6,TRUE,30
168,30,138,0,432,0.178571428571429,1,0.303030303030303,0.178571428571429,0.979882402821214,2.33493556823613,"val_1se",20,3,4,TRUE,168
