scenario,method,E,rounds,n,F1_mean,F1_se,active_mean,active_se,objective_gap_mean,objective_gap_se,kkt_mapping_mean,kkt_mapping_se,test_mse_mean,test_mse_se
Correlated,FedAvg-CD-common,20,5,50,0.28202898277703947,0.007464920148700808,168.52,5.2380273588675434,1.5477247677453168,0.03519743473312111,0.22928225346299022,0.007677683399463275,29.588373716413443,0.5105646272533574
Correlated,FedAvg-CD-common,20,10,50,0.28202898277703947,0.007464920148700808,168.52,5.2380273588675434,1.5477247677231043,0.03519743472851459,0.22928225346025483,0.007677683398888588,29.588373716401076,0.510564627252677
Correlated,FedAvg-CD-common,20,20,50,0.28202898277703947,0.007464920148700808,168.52,5.2380273588675434,1.5477247677231036,0.03519743472851459,0.22928225346025477,0.007677683398888587,29.588373716401076,0.510564627252677
Correlated,FedAvg-CD-common,20,50,50,0.28202898277703947,0.007464920148700808,168.52,5.2380273588675434,1.5477247677231043,0.03519743472851462,0.22928225346025474,0.00767768339888859,29.588373716401076,0.5105646272526772
Correlated,FedAvg-CD-common,20,100,50,0.28202898277703947,0.007464920148700808,168.52,5.2380273588675434,1.5477247677231043,0.03519743472851459,0.22928225346025474,0.007677683398888596,29.588373716401076,0.5105646272526772
Correlated,FedDualAvg-adapted,1,5,50,0.48085671297571075,0.014194833474609151,83.74,4.5346565695851355,1.1190150002116575,0.04842114135704307,0.5184551729880764,0.011339918627659007,33.743645127017714,0.5434583990694996
Correlated,FedDualAvg-adapted,1,10,50,0.5378241162886531,0.013887840314069875,70.16,3.7098170921411824,0.4865524460306784,0.024026567591571957,0.312713548994781,0.006701726479103679,31.007270461066085,0.5244406484210985
Correlated,FedDualAvg-adapted,1,20,50,0.6115381258127616,0.013418598796797857,56.54,2.917954273606278,0.12184674180295833,0.00852409832118234,0.1409967940389251,0.004079543750738031,28.889902454971455,0.5147915095490742
Correlated,FedDualAvg-adapted,1,50,50,0.6960500786166791,0.01198070838992263,44.78,2.091047974737323,0.004241614949010028,0.0005736408593192859,0.023850758999265285,0.0013800095084536062,27.585474956393632,0.5217955511699475
Correlated,FedDualAvg-adapted,1,100,50,0.7128884098241332,0.01152909762928618,42.92,1.9193621389430822,8.672375319576058e-05,2.042425215949224e-05,0.0039047582729285725,0.000494706574714991,27.413765694302764,0.5271169303680152
Correlated,FedDualAvg-adapted,5,5,50,0.6698212006608126,0.011804410700775073,46.38,2.2223153948721395,0.09538939604202173,0.007374792371267184,0.1304507364080016,0.004113144795823684,28.814512325169613,0.5203759030165676
Correlated,FedDualAvg-adapted,5,10,50,0.723934502726612,0.0105104619846779,40.46,1.7445448502958807,0.012410959843716922,0.001283551323109355,0.050346805264265694,0.002048495658158964,27.806272725186265,0.5245908676380382
Correlated,FedDualAvg-adapted,5,20,50,0.7418510062730426,0.010207442267337004,38.74,1.5889439439901136,0.005035056517075191,0.0004828983852619669,0.038624712152938126,0.001415186560575892,27.577839828751927,0.530198946466508
Correlated,FedDualAvg-adapted,5,50,50,0.7246806072612002,0.010493239323141779,40.96,1.7313342737169326,0.002074952643300622,0.00039651317184403626,0.019944982160582558,0.001818066186384262,27.4968093355257,0.527740856418226
Correlated,FedDualAvg-adapted,5,100,50,0.7277319439885399,0.011019077269667187,41.02,1.7676203304593046,0.0011185774834253169,0.00036926561529003796,0.013813929540648966,0.0016257493546850132,27.45398509592066,0.5285318677716175
Correlated,FedDualAvg-adapted,20,5,50,0.7540811632038746,0.009178617550564249,33.78,1.3939490225797428,0.06607956338232329,0.005855093638607498,0.1401485428116806,0.005516329797637973,28.302756133767865,0.5438220211454824
Correlated,FedDualAvg-adapted,20,10,50,0.7528439561628651,0.00866804161435745,36.56,1.350785108062443,0.02239893642040253,0.004904202999441557,0.07221521784344635,0.005414872542197425,27.796865892203336,0.5290355383706523
Correlated,FedDualAvg-adapted,20,20,50,0.7490215831617709,0.009849823106774127,37.84,1.5089826279412797,0.009809319098325128,0.0013817580940026766,0.053924708016984714,0.003038709917311352,27.641316249140477,0.5309463642781584
Correlated,FedDualAvg-adapted,20,50,50,0.7336457925402943,0.010072468859103227,39.76,1.6357136618838486,0.003684282089038746,0.0014118183416619344,0.02494220203485564,0.003602909107077459,27.499252123962513,0.5275725163157112
Correlated,FedDualAvg-adapted,20,100,50,0.7339774712921749,0.010583141102134463,40.16,1.7165128390229454,0.002889893236975623,0.0013858804145103986,0.02086916720734842,0.003337542615288416,27.478166184055482,0.5288117826250042
